3,,CRITERIOS DE EVALUACIÓN,NUMERAC,DONDE SE EXPLICA CADA CRITERIO DE EVAL.,,,,DONDE SE PREGUNTA CADA CRITERIO DE EVALUACIÓN,,,,,,,LISTADO DE ELEMENTOS,,,MARCA CADA,,PONDERACIÓN DE CADA INSTRUMENTO DE EVAL.,,100%,PONDERACIÓN
,,,6.K,,,,,,,,,,,,,,,,,,,,
,,,6.L,,,,,,,,,,,,,,,,,,,,
,,,6.M,,,,,,,,,,,,,,,,,,,,
,,,6.N,,,,,,,,,,,,,,,,,,,,
,,,6.Ñ,,,,,,,,,,,,,,,,,,,,
,,,6.O,,,,,,,,,,,,,,,,,,,,
,,,6.P,,,,,,,,,,,,,,,,,,,,
,,,6.Q,,,,,,,,,,,,,,,,,,,,
,,,6.R,,,,,,,,,,,,,,,,,,,,
,,,6.S,,,,,,,,,,,,,,,,,,,,
7,R.A.7,Copia aquí los C.E. del R.A. 7,7.A,,,,,,,,,,,,,,,,,,,,
,,,7.B,,,,,,,,,,,,,,,,,,,,
,,,7.C,,,,,,,,,,,,,,,,,,,,
,,,7.D,,,,,,,,,,,,,,,,,,,,
,,,7.E,,,,,,,,,,,,,,,,,,,,
,,,7.F,,,,,,,,,,,,,,,,,,,,
,,,7.G,,,,,,,,,,,,,,,,,,,,
,,,7.H,,,,,,,,,,,,,,,,,,,,
,,,7.I,,,,,,,,,,,,,,,,,,,,
,,,7.J,,,,,,,,,,,,,,,,,,,,
,,,7.K,,,,,,,,,,,,,,,,,,,,
,,,7.L,,,,,,,,,,,,,,,,,,,,
,,,7.M,,,,,,,,,,,,,,,,,,,,
,,,7.N,,,,,,,,,,,,,,,,,,,,
,,,7.Ñ,,,,,,,,,,,,,,,,,,,,
,,,7.O,,,,,,,,,,,,,,,,,,,,
,,,7.P,,,,,,,,,,,,,,,,,,,,
,,,7.Q,,,,,,,,,,,,,,,,,,,,
,,,7.R,,,,,,,,,,,,,,,,,,,,
,,,7.S,,,,,,,,,,,,,,,,,,,,
8,R.A.8,Copia aquí los C.E. del R.A. 8,8.A,,,,,,,,,,,,,,,,,,,,
,,,8.B,,,,,,,,,,,,,,,,,,,,
,,,8.C,,,,,,,,,,,,,,,,,,,,
,,,8.D,,,,,,,,,,,,,,,,,,,,
,,,8.E,,,,,,,,,,,,,,,,,,,,
,,,8.F,,,,,,,,,,,,,,,,,,,,
,,,8.G,,,,,,,,,,,,,,,,,,,,
,,,8.H,,,,,,,,,,,,,,,,,,,,
,,,8.I,,,,,,,,,,,,,,,,,,,,
,,,8.J,,,,,,,,,,,,,,,,,,,,
,,,8.K,,,,,,,,,,,,,,,,,,,,
,,,8.L,,,,,,,,,,,,,,,,,,,,
,,,8.M,,,,,,,,,,,,,,,,,,,,
,,,8.N,,,,,,,,,,,,,,,,,,,,
,,,8.Ñ,,,,,,,,,,,,,,,,,,,,
,,,8.O,,,,,,,,,,,,,,,,,,,,
,,,8.P,,,,,,,,,,,,,,,,,,,,
,,,8.Q,,,,,,,,,,,,,,,,,,,,
,,,8.R,,,,,,,,,,,,,,,,,,,,
,,,8.S,,,,,,,,,,,,,,,,,,,,
9,R.A.9,Copia aquí los C.E. del R.A. 9,9.A,,,,,,,,,,,,,,,,,,,,
,,,9.B,,,,,,,,,,,,,,,,,,,,
,,,9.C,,,,,,,,,,,,,,,,,,,,
,,,9.D,,,,,,,,,,,,,,,,,,,,
,,,9.E,,,,,,,,,,,,,,,,,,,,
,,,9.F,,,,,,,,,,,,,,,,,,,,
,,,9.G,,,,,,,,,,,,,,,,,,,,
,,,9.H,,,,,,,,,,,,,,,,,,,,
,,,9.I,,,,,,,,,,,,,,,,,,,,
,,,9.J,,,,,,,,,,,,,,,,,,,,
,,,9.K,,,,,,,,,,,,,,,,,,,,
,,,9.L,,,,,,,,,,,,,,,,,,,,
,,,9.M,,,,,,,,,,,,,,,,,,,,
,,,9.N,,,,,,,,,,,,,,,,,,,,
,,,9.Ñ,,,,,,,,,,,,,,,,,,,,
,,,9.O,,,,,,,,,,,,,,,,,,,,
,,,9.P,,,,,,,,,,,,,,,,,,,,
,,,9.Q,,,,,,,,,,,,,,,,,,,,
,,,9.R,,,,,,,,,,,,,,,,,,,,
,,,9.S,,,,,,,,,,,,,,,,,,,,
10,R.A.10,Copia aquí los C.E. del R.A. 10,10.A,,,,,,,,,,,,,,,,,,,,
,,,10.B,,,,,,,,,,,,,,,,,,,,
,,,10.C,,,,,,,,,,,,,,,,,,,,
,,,10.D,,,,,,,,,,,,,,,,,,,,
,,,10.E,,,,,,,,,,,,,,,,,,,,
,,,10.F,,,,,,,,,,,,,,,,,,,,
,,,10.G,,,,,,,,,,,,,,,,,,,,
,,,10.H,,,,,,,,,,,,,,,,,,,,
,,,10.I,,,,,,,,,,,,,,,,,,,,
,,,10.J,,,,,,,,,,,,,,,,,,,,
,,,10.K,,,,,,,,,,,,,,,,,,,,
,,,10.L,,,,,,,,,,,,,,,,,,,,
,,,10.M,,,,,,,,,,,,,,,,,,,,
,,,10.N,,,,,,,,,,,,,,,,,,,,
,,,10.Ñ,,,,,,,,,,,,,,,,,,,,
,,,10.O,,,,,,,,,,,,,,,,,,,,
,,,10.P,,,,,,,,,,,,,,,,,,,,
,,,10.Q,,,,,,,,,,,,,,,,,,,,
,,,10.R,,,,,,,,,,,,,,,,,,,,
,,,10.S,,,,,,,,,,,,,,,,,,,,
